Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Lat,Long_,Active,Combined_Key
Anhui,China,2020-01-22,1,0,0,-19.015438,29.154857,1,"Anhui, China"
Beijing,China,2020-01-22,14,0,0,-19.015438,29.154857,14,"Beijing, China"
Chongqing,China,2020-01-22,6,0,0,-19.015438,29.154857,6,"Chongqing, China"
Fujian,China,2020-01-22,1,0,0,-19.015438,29.154857,1,"Fujian, China"
Gansu,China,2020-01-22,0,0,0,-19.015438,29.154857,0,"Gansu, China"
Guangdong,China,2020-01-22,26,0,0,-19.015438,29.154857,26,"Guangdong, China"
Guangxi,China,2020-01-22,2,0,0,-19.015438,29.154857,2,"Guangxi, China"
Guizhou,China,2020-01-22,1,0,0,-19.015438,29.154857,1,"Guizhou, China"
Hainan,China,2020-01-22,4,0,0,-19.015438,29.154857,4,"Hainan, China"
Hebei,China,2020-01-22,1,0,0,-19.015438,29.154857,1,"Hebei, China"
Heilongjiang,China,2020-01-22,0,0,0,-19.015438,29.154857,0,"Heilongjiang, China"
Henan,China,2020-01-22,5,0,0,-19.015438,29.154857,5,"Henan, China"
Hong Kong,Hong Kong,2020-01-22,0,0,0,-19.015438,29.154857,0,"Hong Kong, Hong Kong"
Hubei,China,2020-01-22,444,17,28,-19.015438,29.154857,399,"Hubei, China"
Hunan,China,2020-01-22,4,0,0,-19.015438,29.154857,4,"Hunan, China"
Inner Mongolia,China,2020-01-22,0,0,0,-19.015438,29.154857,0,"Inner Mongolia, China"
Jiangsu,China,2020-01-22,1,0,0,-19.015438,29.154857,1,"Jiangsu, China"
Jiangxi,China,2020-01-22,2,0,0,-19.015438,29.154857,2,"Jiangxi, China"
Jilin,China,2020-01-22,0,0,0,-19.015438,29.154857,0,"Jilin, China"
Liaoning,China,2020-01-22,2,0,0,-19.015438,29.154857,2,"Liaoning, China"
Macau,Macau,2020-01-22,1,0,0,-19.015438,29.154857,1,"Macau, Macau"
Ningxia,China,2020-01-22,1,0,0,-19.015438,29.154857,1,"Ningxia, China"
Qinghai,China,2020-01-22,0,0,0,-19.015438,29.154857,0,"Qinghai, China"
Shaanxi,China,2020-01-22,0,0,0,-19.015438,29.154857,0,"Shaanxi, China"
Shandong,China,2020-01-22,2,0,0,-19.015438,29.154857,2,"Shandong, China"
Shanghai,China,2020-01-22,9,0,0,-19.015438,29.154857,9,"Shanghai, China"
Shanxi,China,2020-01-22,1,0,0,-19.015438,29.154857,1,"Shanxi, China"
Sichuan,China,2020-01-22,5,0,0,-19.015438,29.154857,5,"Sichuan, China"
Taiwan,Taiwan,2020-01-22,1,0,0,-19.015438,29.154857,1,"Taiwan, Taiwan"
